Country Name,Year,CPIA gender equality rating (1=low to 6=high),"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Access to electricity, rural (% of rural population)","Access to clean fuels and technologies for cooking, rural (% of rural population)",GOAL 2: Zero Hunger (5 year moving average),Newborns protected against tetanus (%),"School enrollment, primary (% gross)","Life expectancy at birth, total (years)",People using at least basic sanitation services (% of population),Gini index,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),Social_Equity_Index
Iceland,2022,1.2904492808032562,4.146253214804603,4.530195927798776,4.530195927798776,-0.3571300238567617,4.464572606707027,4.515685303970618,4.339446441655135,4.518311285295035,3.492108663266857,1.6002152171414048,2.8612400934348163,68.93262228110785
Iceland,2023,1.2904492808032562,4.189795067314174,4.530195927798776,4.268685704379358,-0.3571300238567617,4.463036562993165,4.515685303970618,4.3451852116449325,4.430623698940526,3.492163258139891,1.0943097372145796,2.858936242195275,68.8536759003635
Indonesia,2021,1.2904492808032562,3.796198350987596,4.512619024276643,4.300687092401983,0.0,4.349780179805614,4.549267811210561,4.148656300573665,4.391535009399169,3.5243772613980267,5.316861828152207,4.077749505233739,54.533761651775734
Indonesia,2022,1.2904492808032562,4.146253214804603,4.512619024276643,4.341573778277523,0.0,4.349780179805614,4.536416803082465,4.197365381233327,4.408170714661317,3.5243772613980267,4.909011371965079,4.076199853624476,56.47450824261728
Indonesia,2023,1.2904492808032562,4.189795067314174,4.51655288476126,4.268685704379358,-0.3571300238567617,4.349780179805614,4.532400593866971,4.200383124352481,4.430623698940526,3.5407142070302653,4.8553808784377255,4.063712135518307,51.79210656119372
Ireland,2021,1.2904492808032562,4.523301168363859,4.530195927798776,4.530195927798776,-0.2233216140000439,4.464572606707027,4.530039631159392,4.341028018890583,4.420356671871079,3.363431925856895,1.780333829303916,-1.2091686164783046,77.0149896942952
Ireland,2022,1.2904492808032562,4.523301168363859,4.530195927798776,4.530195927798776,-0.2233216140000439,4.464572606707027,4.5265113638547305,4.344040192907983,4.420158171491165,3.363431925856895,1.9324389107446345,-1.2091686164783046,76.812558539729
Ireland,2023,1.2904492808032562,4.189795067314174,4.530195927798776,4.268685704379358,-0.2233216140000439,4.463036562993165,4.5265113638547305,4.34815589822076,4.430623698940526,3.363431925856895,1.379448141588215,-1.2091686164783046,77.34157648763617
Italy,2021,1.2904492808032562,4.478412464063285,4.530195927798776,4.530195927798776,-0.2233216140000439,4.464572606707027,4.5406843467157545,4.345642837837493,4.529083460982598,3.5049623028558106,1.9324389107446345,0.5296231607254906,73.79072241212934
Italy,2022,1.2904492808032562,4.146253214804603,4.530195927798776,4.530195927798776,-0.2233216140000439,4.464572606707027,4.545216612497974,4.346271718631416,4.529082877214812,3.5049623028558106,2.2837388334592723,0.5296231607254906,73.3455925639656
Italy,2023,1.2904492808032562,4.189795067314174,4.530195927798776,4.268685704379358,-0.2233216140000439,4.463036562993165,4.545216612497974,4.357917169950576,4.430623698940526,3.5049623028558106,1.780333829303916,0.5296231607254906,73.36056456255423
Japan,2021,1.2904492808032562,4.515276145849101,4.530195927798776,4.530195927798776,-0.2233216140000439,4.464572606707027,4.551424509209403,4.366509300967585,4.529621332368425,3.4950523895136545,1.379448141588215,2.886126718541812,72.32290627332696
